reviews::target
Très bon endroit ::None
Excellent, à faire::None
Excellente table pour découvrir les spécialités locales::None
Une très bonne table::None
Bon resto !!!::None
Bon restaurant::None
Bon accueil::None
Excellent !! ::None
Vacances::None
Journée a saint jean de luz::None
Fun et excellent ::None
Bonne adresse !::None
Bonne adresse ::None
Halte basque ::None
Très bien::None
Restaurant que nous fréquentons  depuis longtemps.::None
Très bon repas !::None
Excellent::None
Le meilleur repas de notre séjour !::None
Très bon moment::None
Incontournable !::None
Belle soirée::None
Une excellente adresse à Saint-Jean de Luz::None
La fraîcheur dans l assiette,et chaleur dans l acceuil.::None
Tres bien::None
Jolie ambiance ::None
Une belle découverte::None
Bon rapport qualité prix::None
EXCELLENTE ADRESSE!!!!::None
Un délice!::None
Aucun regret ::None
Super::None
Super!!!!::None
Mon restaurant préféré à Saint-Jean-de-Luz pour dîner en famille::None
Très bonne table !::None
Une bonne adresse::None
Allez y !!::None
Top !::None
Parfait::None
Décevant::0
Restaurant pour touristes::0
À ne pas manquer !!!::None
Vraiment la bonne table::None
La bonne adresse ::None
Excellent ::None
Excellent à tous points de vue!::None
Bonne adresse::None
Fin de vacances::None
TOUJOURS PARFAIT::None
Excellente adresse::None
Diner::None
Excellent !::None
Très bon::None
très bien::None
À côté de l’hôtel toxho ::None
Une cuisine traditionnelle locale à ne pas rater::None
A recommander,très bien::None
piège à touriste::None
Ne pas louper ::None
Super bien ::None
Excellent::None
Déjeuner parfait::None
Très très bien::None
Déçu ::0
Bonne soirée en famille et bonne cuisine ::None
Repas de soirée::None
Le meilleur magret de ma vie::None
Deux supers repas::None
A ne pas louper::None
Bien::None
Très bon resto::None
Je recommande sans problème ::None
excellent comme Toujours::None
accueil,repas,prix :bravo::None
Super !::None
Bravo les gars::None
Un délice !::None
En week end ::None
Très bien ! ::None
Excellent rapport qualité / prix::None
Parfait::None
super::None
Personnel sympathique::None
Très bon restaurant ::None
Excellent::None
Bon::None
Sympa,qualité des produits.::None
Une bonne cantine::None
N hésitez pas,  allez-y !::None
Excellent ::None
Moyen ::None
Au top::None
Surprenant::None
Excellente adresse::None
honela jarraitu !!!::None
Excellent restaurant en centre ville::None
Très bon Accueil !::None
Correct::None
A faire::None
Rapport qualité/prix correct::None
Excellent rapport qualité/prix::None
Une excellente découverte::None
Excellent restaurant ::None
Excellente cuisine basque::None
Une belle surprise::None
Très bien::None
Business is business::None
Très bon repas !!::None
Repas très agréable::None
Superbe adresse!::None
Très bon restaurant::None
Une adresse à ne pas manquer  !::None
Restau sympa très recommandable !::None
Excellente soirée ::None
Service impeccable ::None
Personnel attentif , service rapide::None
Bravo!::None
Un déjeuner très agréable !::None
Restaurant excellent::None
Accueil, service, nourriture tout est parfait::None
On recommande ::None
Se régaler à prix modique::None
Menu 25 euros satisfaisant::0
Très bon repas::None
A decouvrir::None
Bon restaurant ::None
meilleur qualité/prix/service à St Jean de Luz::None
A conseiller::None
Le parfait accueil ...::None
Bon::None
Excellent ::None
Weekend en amoureux ::None
EXTRA::None
Convivial et goutu !::None
Excellent ::None
Une très bonne adresse ::None
Très bon à retenir !!!::None
Sympa::None
Accueil chaleureux et très bonne table ::None
Bonne adresse::None
Incontournable ::None
Repas en amoureux::None
Perfection....::None
Superbe pause repas pour déjeuner aujourd’hui !::None
Visite pays basque::None
Nouvelle carte !!!::None
Très bon moment::None
Incontournable à ST jean de luz ::None
A fuir::0
Très correct::None
Même pas besoin d'y être allé...::None
Un superbe moment ::None
Correct ! ::None
Super rapport qualité prix::None
Superbe découverte ::None
Accueil sympa et bon repas  ::None
Séjour saint jean de luz::None
Enfin un Bel Accueil !::None
Tres bonne adresse ::None
Excellent ::None
Excellent ::None
Restaurant sympathique et accueillant::None
Bon et convivial....::None
Très bien::None
Ambiance agréable, cuisine locale à l'honneur::None
Cuisine regionale savoureuse ....ambiance conviviale::None
Vraiment sympa::None
Au top::None
Un bon hasard ::None
Je vous le recommande::None
Tres satisfait de notre choix::None
A ne pas rater::None
Bon sans plus::None
Très bon ::None
Il faut y aller::None
Dïiner de la Saint Valentin::None
Le hasard a du bon::None
bonne ambiance et bon rapport qualité prix::None
Déçue::None
Bonne adresse::None
Une bonne table avec une ambiance authentique::None
Bonne table à St Jean de luz ::None
BELLE SURPRISE SUR ZONE TOURISTIQUE::None
Excellent::None
Grands parents en visites::None
Bon marché::None
UNE EXCELLENTE ADRESSE !)::None
Bonne adresse accueuillante ,prix moyens, rapidité du service,qualité/prix = Bon.::None
!Restaurant sympa!!::None
Moyen::None
Une bonne soirée à St Jean de Luz::None
Super soirée en famille ::None
Belle découverte !::None
Halte à faire !::None
Super restaurant::None
Toujours bien reçu ::None
Super !::None
Un halte très agréable !::None
Quel lieu agreable::None
Très bien::None
Délicieux::None
Merveilleuse adresse !!!::None
Bon Moment::None
Bon::None
Un des meilleurs assurément !!::None
Rapport qualité/prix imbattable::None
Excellent::None
très bon moment::None
Sans fausse note::None
Déjeuner en famille::None
Très bon rapport qualité-prix::None
Délicieux !!!::None
Bon restaurant sympathique::None
Délicieux !!!::None
Plats bien garnis mais un peu décevant::None
Convivial et délicieux::None
Super adresse !::None
Magnifique surprise::None
Excellent::None
Top !::None
Très bon repas en famille ::None
Restaurant bondé et bruyant::None
Une envie de Paella ::None
a ne pas manquer::None
À consommer sans modération !::None
Le meilleur de Saint-Jean de Luz !::None
A ne pas manquer !!!::None
Super::None
Accueil et service parfait ::None
Chaleureux accueil ::None
Bonne expérience en cuisine basque ::None
Dîner en famille (3)::None
si bon...tellement genereux !::None
Le top .....pensez à réserver::None
Un sans faute !::None
EXTRA... jusqu'au moment de payer...::None
Superbe, un véritable plaisir !! ::None
Par hasard !::None
Trés bien ::None
Excellent ::None
Très Bien ::None
Sympa mais il ne faut pas trop en attendre ::None
Exceptionnel ::None
Excellent et sympathique ::None
Au top ::None
très bon accueil::None
Qualité excellente.Prix modique::None
Excellente soirée ! ::None
Vraiment moyen::None
Bonne moyenne::None
Tres bon::None
 Bien mais en baisse::None
Dommage en baisse de qualité ::None
L'excellence en toute simplicité::None
Excellent en tous points !::None
Excellent ::None
Découverte de St Jean De Luz::None
Très bon et personnel au top::None
Un restaurant au top ! ::None
Paella ::None
Très sympa::None
A été mieux::None
Accueil convivial ::None
Super moment::None
Attrape Touriste::None
Mériterait trois et demi::None
Top::None
Impecc!::None
tout simplement parfait.::None
Parfait!::None
Rapport qualité prix imbattable::None
Très bien::None
La référence basque à St Jean de luz::None
A refaire en amoureux::None
simple mais bon::None
Copieux ! ::None
Des menus copieux et de qualité !::None
Un restaurant superbe dont on ne trouve pas d’équivalence ! ::None
trop trop génial ::None
Pourquoi pas::None
Restaurant à ne pas louper::None
Sans plus. ::None
Parillada à la carte trop top::None
Au top::None
Très moyen ::None
Très sympa et rien a redire ::None
Un super moment::None
Excellente cuisine et super accueil! ::None
Super restau, super accueil::None
Bel endroit::None
Salut::None
A découvrir::None
A découvrir ...::None
Excellente adresse ::None
standart touristique::0
Un très bon moment en famille !!::None
Excellente adresse ::None
Belle adresse à ne pas manquer.::None
Diner parfait::None
Excellent petit restaurant ::None
Parfait ::None
Excellent ::None
Toujours aussi sympa !::None
un peu moins bien::None
Excellent ::None
Personnel sympa::None
Excellent::None
Super moment::None
A ne pas manquer::None
Très bonne table::None
Un régal::None
Super::None
Familial::None
Retour a froid.::None
Un avant goût des vacances ::None
Ballade::None
Parfait.....::None
Très sympa!::None
Très bien !!::None
L’accueil est parfait. ::None
Toujours aussi bien::None
Délicieux ::None
Très bonne adresse !::None
Très agréable moment::None
très bonne table::None
très bon moment::None
Un super moment entre amis::None
Superbe::None
Valeur sure::None
trres bon accueil::None
ON REVIENDRA....TRES BIENTOT::None
Valeur sûre mais pas hors du commun::None
Simple et efficace::None
Au top 👌::None
Bonne surprise. ::None
Super dîner::None
Très bon, sympa et très bien en prix ::None
Convivialité gentillesse et respect du client !::None
Top !!::None
Agréable::None
La vieille Auberge::None
Belle Adresse::None
à ne pas manquer::None
Parfait ::None
Un bon moment dans un lieu convivial ::None
Excellent::None
Bonne adresse ::None
Excellent !::None
cuisine excellente::None
Bien mais...::None
Je recommande::None
Un joli coin::None
Très bon moment.::None
Dommage::None
Vraiment super ::None
Un très bon moment::None
Top::None
Très bonne adresse::None
Superbe endroit à Saint Jean de Luz::None
Très bonne adresse ::None
Très bien ::None
Dommage pour le poisson ::None
Très belle surprise ::None
excellente ambiance pour super repas::None
EXCELENT::None
Régal et détente assurés ::None
Très bon::None
Au top::None
très bonne adresse::None
Excellent::None
Tres bonne adresse. Équipe très sympathique::None
A decouvrir  sans regrets ::None
Soirée  Très agréable a ne pas manquer  lors de votre passage a st Jean::None
Parfait::None
Très bonne petite auberge locale::None
TRES BONNE SOIRÉE::None
Excellent !::None
Parfait!::None
Une seule chose à dire: parfait::None
Très bonne adresse ::None
Très bon repas ::None
Moment agréalable::None
Convivialité, repas, moment sympa::None
Très bon::None
Moyen, r::None
Rien a dire de plus que ... très bon::None
LE TARTARE DE POISSON PUTÔT DOUTEUX::None
Très bonne adresse ::None
Bonne adresse ::None
Excellent restaurant::None
Très bon déjeuner ::None
Très bon !!! ::None
Très bon mais un peu bruyant ::None
TRES BON RESTAURANT BASQUE::None
Au top !::None
Un restaurant agréable ::None
Un seul mot : top !::None
Un réel bonheur ::None
Excellent accueil::None
À faire et à refaire....::None
Très bon ::None
N hésitez pas::None
Tres bien avec un service tres chaleureux::None
Belle soirée de novembre::None
Une très bonne cuisine locale::None
Très bon!::None
le bonheur en pays basque::None
Superbe cuisine ::None
Une Adresse à Découvrir::None
Famille hockey::None
Une bonne étape ::None
Excellent::None
Excellent c'est notre 2ème visite::None
accueil agréable et bonne cuisine::None
Excellente cuisine et service parfait !::None
Repas en terrasse ::None
excellent rapport qualité /prix::None
Un déjeuner délicieux en terrasse.::None
Parfait ::None
Excellente adresse!::None
Une bonne soirée et un très bon dîné.::None
Restaurant au top ! ::None
Très bon resto::None
À ne pas louper ::None
ce n'est certainement pas un piège à touristes ! excellent::None
Bonne table::None
TRES TRES BIEN::None
Généreux::None
escapade St Jean de luz::None
Escapade basque ::None
Merveilleuse escapade::None
Excellente adresse tant dans l'assiette que pour l'ambiance::None
TRÈS BONNE CUISINE AVEC ACCUEIL SYMPATIQUE.::None
Cuisine basique sans plus ::None
Bonne table::None
Bonne cuisine simple::None
Auberge Luzienne  Incontournable ::None
Excellent ::None
Très bon diner servi par une équipe dynamique et sympa::None
Assez bruyant mais agréable::None
Incontournable ! ::None
Super::None
Bon rapport qualite prix::None
malgre l'accueil sympa deception::None
Un délice...::None
Excellent repas en couple::None
une ballade à St jean de luz::None
Bon repas ::None
une bonne soiree::None
Soirée vacance::None
Bonne cuisine dans un beau cadre::None
Parfait::None
Déjeuner de vacances::None
Tres bon::None
Excellent ::None
Excellent moment ::None
Accueil sympa mais il manque le petit plus::None
Super restaurant::None
Bon restaurant::None
Cantine sympa::None
Bon restaurant::None
Bon restaurant mais !!!!!!::None
Très bon restaurant ::None
Chaleureux, tres bons plats... Bonne soirée !::None
Vacance::None
Excellent ::None
Bon rapport qualité / prix::None
Tres bien::None
Très bon::None
Erreur de casting::0
Un délicieux dîner en famille::None
Ravis::None
La pire parillade::None
tres bien placé::None
Très bon restaurant::None
Bonne table::None
Une très bonne soirée ::None
Très bon.::None
Excellent en tous points ::None
Une vrai découverte !::None
Très bien::None
Déception::0
Toujours sympa !!!::None
Moyen ::0
Repas en famille::None
Resto sympa::None
parfait::None
TRÈS BON ::None
Excellent ::None
Bon et accueillant !!!::None
Bon et service prévenant::None
Genial Comme d habitude ::None
Bonne adresse::None
Restaurant typique ::None
Typique::None
copieux et très bon::None
Bon accueil::None
Là où manger de la cuisine basque::None
Bon accueil::None
La carte des plats typiques !!::None
PERSONNEL AU TOP::None
Parfait::None
Une tuerie::None
Super accueil personnels toujours dynamiques::None
Restaurant au top du top.::None
Très moyen ::None
Super accueil::None
Pas mal, même trés bien!::None
Régalade et super accueil ::None
excellent !::None
Sympathique::None
Très bon.::None
très bonne adresse::None
Excellent::None
Super !!!::None
Très sympa::None
Bonne adresse ::None
A faire n'hésitez pas::None
Excellent::None
Très bien !::None
Franchement moyen::None
De bonnes vacances.::None
Cest quoi ce classement ? ::None
Accueil déplorable ::None
Viva la paella ! ::None
Repas anniversaire ::None
Excellent !!::None
Restaurant familial local::None
Tres belle table locale a reserver::None
Un seul mot : convivial ::None
Très bon!::None
Délicieux et efficace ::None
Très sympathique, rapide et DÉLICIEUX!!!::None
Très bon accueil::None
très bon et copieux ::None
Le resto typique de sortie de plage::None
Déjeuner au top::None
Plats typiques et accueil au top !::None
Repas entre amis::None
Service décontracté et bon repas::None
Excellent ::None
Saveurs basques::None
Sympathique::None
Excellente adresse::None
Très bonne table. ::None
Tres tres bien ::None
Agréable ::None
Excellente adresse::None
Super Restaurant et superbe équipe::None
Génial ::None
Un très bon moment ::None
Très bien!::None
À ne pas manquer ::None
Nourriture avariée !::None
Côte de boeuf miam miam::None
Mme fagoaga::None1
Tres mediocre ::None
Très bon restaurant::None
Super !!!::None
La valeur sûre et très bonne !::None
Délicieux ::None
Le dernier restau des vacances ::None
Excellent !::None
Excellent à tous égards ::None
Un moment très agréable en famille ::None
Bonne adresse ::None
Si seulement tous les restaurants étaient comme La Vieille Auberge::None
Decu::None
Repas midi en famille avec enfants avec poussette::None
C'est super !!! ::None
Bonne ambiance, plats simples et efficaces::None
Tres bien::None
Bonne cuisine typique ::None
Bonne table::None
Très bon, bonne ambiance et typique.::None
INCROYABLE::None
Repas excellent ::None
Bonne table ::None
Cuisine traditionnelle Basque::None
 Une table à conseiller ::None
Parfait ::None
Bon restaurant::None
Pour la fete de la st jean::None
Déjeuner agréable ::None
Excellant !::None
Bon et efficace::None
Excellent ::None
Une tuerie::None
Excellent ::None
Très bon::None
Bon restaurant !!::None
A conseiller::None
60 PERSONNES QUI ARRIVENT. ...::None1
Un régal des papilles::None
Excellent à Saint-Jean!::None
Super resto ::None
bonne surprise::None
Ce n'est pas un mirage !::None
convivial::None
Parfait::None
Accueil et table très agréables::None
Weekend à St Jean de Luz::None
Très bonne adresse::None
Très bon::None
très sympa::None
Conforme aux avis... ::None
Autant pour la cuisine que pour l'Accueil !!!!!::None
Tres bien::None
bon rapport qualité prix::None
Bonne ambiance !::None
Moyen::None
parfait::None
Très bonne cuisine, personnel agréable::None
Un delice::None
Bonne table::None
Très bon repas dans une ambiance chaleureuse::None
De l'humour pour un bon déjeuner !::None
rien a redire::None
AGREABLE DEJEUNER::None
Bonne table ! ::None
Quand tout est parfait!!::None
Service exceptionnel, ambiance conviviale::None
Bonne adresse::None
Excellent::None
Une perle rare!::None
Très bon déjeuner !::None
Accueil super sympa!!::None
Fidèle à sa réputation::None
Si vous voulez UNE définition du service ::None
Quel service!::None
Succulent, agréable et convivial... ::None
Ne changez rien::None
Pause déjeuner au pays basque::None
très bon restaurant::None
A ne pas louper::None
Repas détente en famille::None
Vaut vraiment le détour !::None
Excellent restaurant !::None
Restaurent familial, convivial et personnel sympa::None
A découvrir::None
Repas anniversaire ::None
Bonne adresse à St Jean de luz::None
Sympa et bon rapport qualite prix::None
super adresse::None
Bon diner::None
Déçus ::None
Excellent::None
super restaurant et super service::None
Vacances ::None
Très bon::None
Un moment très agréable dans une ambiance formidable::None
Très bien !::None
Très bonne adresse :)::None
Très bonne adresse à recommander::None
Restaurant sypmpa::None
Très bon restaurant::None
Services au top et bonne cuisine.::None
bien manger a un prix raisonnable::None
C'est pas folichon ::None
Très bien mais facilement perfectible..::None
Un bon moment ::None
UN BON RESTO PAS LOIN DE L'OCEAN::None
Excellent::None
Excellent::None
Balade st Jean de Luz::None
Belle decouverte::None
Cuisine régionale excellente::None
Dejeuner basque::None
Bon resto au milieux des ruelles::None
Une adresse à retenir ::None
Belle découverte ::None
Sympa les basques::None
Très bonne adresse ::None
Sortie ocean::None
EXCELLENT !!!!::None
Agréable et tres bon restaurant::None
Une découverte !::None
Anniversaire C.Lagarde::None
Un déjeuner agréable en terrasse::None
Plat très bon reste décevant ::None
Excellente adresse::None
Tres bien::None
Comme toujours perfect::None
EXCELLENT::None
Très bon accueil ::None
Comme a la maison::None
Super accueil::None
Juste fabuleux !::None
Adresse à retenir::None
Bonne adresse::None
Accueil et repas au top!::None
Efficace et correct::None
Excellent diner, service souriant et agréable...::None
Rendez-vous gourmand pour vos papilles !!!::None
repas typique::None
Très bon accueil::None
Très bien, je conseille!::None
Pas mal bonne ambiance::None
a ne pas loupé::None
Très bon::None
Vous devrez réserver....::None
Très bon restaurant. Accueil chaleureux ::None
Une très bonne adresse::None
Très bon restaurant::None
Très bon accueil et bon repas::None
Un très bon déjeuner ::None
Cuisine locale très bonne !::None
Cuisine de qualité avec des produits frais, du local et surtout tres bon !!!::None
Très bon restaurant,très bon accueil::None
Dîner::None
Excellent restaurant::None
Hummmmmmmm trop bon trop bien ::None
Sympathique::None
Bon restaurant ::None
Très bon::None
Sympa et convivial::None
Bonne adresse::None
Très bon restaurant::None
UNE BONNE ADRESSE::None
Merci::None
Super resto::None
A réserver::None
Toujours aussi bon::None
Dommage::None
On n'y retournera pas::0
Déjeuner de qualite::None
traditionnelle::None
Très bon rapport qualité/prix::None
Très bien!::None
Toujours aussi sympa, et aussi bon!::None
Sympathique, chaleureux et cuisine très bonne! SANS MODERATION ::None
Bonne adresse ::None
Spécialité::None
Dîner en famille::None
Très bon rapport qualité prix::None
joli mirage ou cliché pathétique::0
Octobre 2016::None
Super ::None
Vraiment excellent::None
C'est bon !::None
TRES BONNE SOIREE ENTRE AMIS::None
a conseiller sans modération::None
BOF BOF BOF UNE TABLE POUR TOURISTES::0
A essayer !!!::None
Anniversaire 1 an de notre fils::None
Bluffant::None
Très bonne adresse::None
Très bonne surprise !::None
Excellent ::None
bien, mais!!!!::None
Excellent!::None
Très bien ::None
Incontournable::None
Très bon restaurant::None
Restaurant TOP::None
Très bon restaurant!::None
Une excellente soirée ::None
Super Resto! Un incontournable de Saint-Jean-de-Luz ::None
super il vaut le détour::None
excellente restauration::None
Sympa::None
Très bien::None
Y ALLER ENCORE ET ENCORE::None
Très bon restaurant ...::None
une heureuse surprise::None
Top ::None
Bon qualité/prix ::None
Bon resto::None
Très bonne découverte !::None
A ne pas manquer::None
Très bon très agréable ::None
Explosion des papilles::None
Au top !::None
Tres bonne adresse ::None
Très bonne adresse::None
Très belle découverte::None
Une jolie decouverte::None
Convivialité ::None
Super ::None
Nous y allons chaque plusieurs fois par an sans jamais être déçus::None
Bon rapport qualité prix ::None
Super soirée ::None
Super ::None
Très bon rapport qualité prix ::None
Epoustouflant::None
Vaut le détour.::None
Super ::None
Touristique quand même::None
Très bon, pas trop cher et super sympas.::None
A conseiller !::None
Très bonne adresse...::None
Menu des spécialités basques::None
A faire::None
Une belle découverte !::None
A la recherche d'un resto::None
Restaurant plein mais vite servis::None
Top adresse::None
Une équipe formidable ::None
Très bon::None
Bonne ambiance::None
À recommander sans hésiter ::None
Chaleureux et très bon::None
Mensonge dès l accueil ::0
Restaurant familial::None
Accueil chaleureux::None
Bon acceuil, bonne cuisine::None
Excellente table, rapport prestation prix au top::None
Excellent ! ::None
Bon, mais... ::None
Super::None
Bon rapport qualité / prix::None
Je recommande !!!::None
Très bonne adresse::None
Excellent !!!::None
Parfait ::None
Très bonne adresse ::None
Excellent ::None
Très sympa::None
Rien à dire::None
Bon restaurant::None
Nous reviendrons...::None
À refaire ::None
Adresse à retenir ::None
Excellent::None
Bonne adresse::None
Soirée très agréable ::None
Vite servis et satifait::None
Un peu déçu...::0
Pas mal!!!::None
ADRESSE INCONTOUNABLE::None
Service impeccable ! Très bon plats.::None
Décevant ::0
Super découverte ::None
Envie d une paella::None
un très bon moment::None
Excellent rapport qualité/prix::None
Cuisine pleine de saveurs, très bon produits et service efficace !::None
Bien et bon::None
S'attendait à tellement mieux !::None
Simple et bon::None
Profiteroles délicieux ::None
A recommander, mais pensez à réserver !::None
Tres pro ::None
Typique ::None
Rapport qualité prix au top!::None
Un régal ::None
à tester absolument::None
Parfait ::None
Tres correct::None
Excellent::None
Dîner en salle::None
Bon restaurant cuisine typique ::None
Délicieux::None
Parfait::None
A conseiller::None
Super::None
Nous en sommes sortis repus !::None
Au top !::None
Super accueil et Très bon repas::None
A éviter.::None
Très bon::None
Excellent !!!::None
Pour les plats régionaux !!::None
Parfait::None
Excellent !!::None
Encore mieux qu'avant::None
Très bon et prix corrects ::None
Parfait ::None
Très bon restaurant et bonne ambiance ::None
Un très bon moment::None
Humour et bonne table::None
Déjeuner dans la bonne humeur::None
Très très bon restaurant !::None
soirée agréable::None
Un peu déçue ...::0
Au top::None
Restaurant à recommander sans hésitation::None
Bonne adresse ! ::None
Excellent::None
Bonne adresse::None
Une cuisine du terroir servie dans la bonne humeur::None
Tres sympa !::None
Très bon et original::None
Très sympathique ::None
Efficace ... quand on a enfin une table !::None
Correct::None
Bon et correct ::None
Bonne cuisine à tarif raisonnable::None
A refaire !::None
Restaurant sympa::None
Très bonne adresse : cuisine de qualité et accueil très agréable !::None
Belle maison!::None
Bon et abordable.::None
une très bonne adresse::None
Pas mal...::None
Très bon rapport qualité prix ::None
Soirée sympa mais ...::None
Au top! ::None
Sympa et bon::None
Une adresse à retenir::None
Formidable à ne pas manquer::None
Très bien !::None
Superbe moment en amoureux::None
Bon plan ::None
Médiocre::0
Super sympa et super bon::None
Bon restaurant au coeur de Saint Jean de Luz::None
Pour une bonne fin de weekend ::None
Trés  agréable::None
Un diner agréable mais déçu par le plat de paella::None
Un véritable regal::None
Tres bon restaurant!::None
Accueil exceptionnel ::None
Superbe ::None
Très bon Resto ::None
Restaurant sympathique::None
Excellent service et trés bon repas::None
Super Resto ::None
Succulent ::None
Bonne table::None
Très bien::None
un bon resto sympa::None
Très bon et délicieux moment ::None
Tres bonne table.::None
Excellent ::None
A recommander vivement !::None
Excellent restaurant::None
Bien cuisiné mais cher::None
Un régal ::None
Arrêt obligatoire sur Saint Jean de Luz !::None
Delicious::None
Excellent ! ::None
Inoubliable::None
produits frais::None
Génial !!!!::None
Repas de couple ::None
Super::None
Service au top !::None
A fuire ::0
Belle ambiance::None
Très bon rapport qualité prix::None
Très bon, un peu cher ::None
Super resto::None
Auberge chaleureuse ::None
Sympha!::None
Très bon restaurant pour déjeuner ::None
Excellent::None
tres agréable::None
Parfait 😻::None
Delice::None
Très bon restaurant  ::None
Etablissement mémorable !::None
Bonne adresse::None
une tres bonne surprise::None
Je vous conseille ce petit endroit chaleureux ::None
Très bon restau::None
Vraiment sympa ! ::None
Service Sympa::None
A ne pas manquer::None
Un endroit chaleureux::None
Un superbe restaurant::None
Superbe ! ::None
A ne pas louper!::None
très bon moment::None
Au top !!::None
Je recommande::None
Toujours aussi bon !!!::None
Vraiment très bien::None
Un très bon moment::None
Bonne cuisine, bon accueil.::None
Prevoir du citrate de betaïde::None
Au top::None
Très bon restau !::None
Bonne table à St Jean-de-Luz !::None
Belle surprise::None
Superrrrrr::None
Bonne adresse::None
BIENVENUE A LA CANTINE::None
un regal::None
